file,line,constant,context,purpose,classification,dataset_specific,configurable,data_derived,risk,recommended_action
ScanTOBIM/ScanTOBIM/agent/software_identity.py,125,1,@lru_cache(maxsize=1),Calculated metric derived from input data,C. DATA-DERIVED VALUE,FALSE,FALSE,TRUE,ACCEPTABLE,None — properly data-derived
ScanTOBIM/ScanTOBIM/agent/software_identity.py,72,5,"timeout=5,",Operational configuration setting,D. CONFIGURATION,FALSE,TRUE,FALSE,LOW,Move to environment variable or config file
ScanTOBIM/ScanTOBIM/agent/worker.py,103,0.02,"voxel_size_m: float = 0.02,",Signal processing / point-cloud geometric filtering parameter,B. ALGORITHM PARAMETER,FALSE,TRUE,FALSE,MEDIUM,Externalize to detection_config or CLI parameter
ScanTOBIM/ScanTOBIM/agent/worker.py,104,5.0,"max_rmse_mm: float = 5.0,",Calculated metric derived from input data,C. DATA-DERIVED VALUE,FALSE,FALSE,TRUE,ACCEPTABLE,None — properly data-derived
ScanTOBIM/ScanTOBIM/agent/worker.py,49,1,"worker_prefetch_multiplier=1,  # one task at a time per worker slot",Numerical parameter,F. UNKNOWN,FALSE,FALSE,FALSE,LOW,Document rationale
ScanTOBIM/ScanTOBIM/agent/worker.py,55,3600,"result_expires=3600,  # results kept for 1 hour",Numerical parameter,F. UNKNOWN,FALSE,FALSE,FALSE,LOW,Document rationale
ScanTOBIM/ScanTOBIM/agent/worker.py,94,2,"max_retries=2,",Calculated metric derived from input data,C. DATA-DERIVED VALUE,FALSE,FALSE,TRUE,ACCEPTABLE,None — properly data-derived
ScanTOBIM/ScanTOBIM/agent/worker.py,95,600,"soft_time_limit=600,  # 10-min soft limit → SoftTimeLimitExceeded",Operational configuration setting,D. CONFIGURATION,FALSE,TRUE,FALSE,LOW,Move to environment variable or config file
ScanTOBIM/ScanTOBIM/agent/worker.py,96,660,"time_limit=660,  # 11-min hard kill",Operational configuration setting,D. CONFIGURATION,FALSE,TRUE,FALSE,LOW,Move to environment variable or config file
ScanTOBIM/ScanTOBIM/agent/worker.py,219,1,"max_retries=1,",Calculated metric derived from input data,C. DATA-DERIVED VALUE,FALSE,FALSE,TRUE,ACCEPTABLE,None — properly data-derived
ScanTOBIM/ScanTOBIM/agent/worker.py,220,120,"soft_time_limit=120,",Operational configuration setting,D. CONFIGURATION,FALSE,TRUE,FALSE,LOW,Move to environment variable or config file
ScanTOBIM/ScanTOBIM/agent/worker.py,221,130,"time_limit=130,",Operational configuration setting,D. CONFIGURATION,FALSE,TRUE,FALSE,LOW,Move to environment variable or config file
ScanTOBIM/ScanTOBIM/agent/worker.py,213,10,"raise self.retry(exc=exc, countdown=10) from exc",Numerical parameter,F. UNKNOWN,FALSE,FALSE,FALSE,LOW,Document rationale
ScanTOBIM/ScanTOBIM/agent/drp.py,160,0,"total_seg = session.get(""""total_segments"""", 0)",Numerical parameter,F. UNKNOWN,FALSE,FALSE,FALSE,LOW,Document rationale
ScanTOBIM/ScanTOBIM/agent/drp.py,161,0,"total_el = session.get(""""total_elements_created"""", 0)",Numerical parameter,F. UNKNOWN,FALSE,FALSE,FALSE,LOW,Document rationale
ScanTOBIM/ScanTOBIM/agent/drp.py,162,0,"clashes = session.get(""""total_clashes"""", 0)",Numerical parameter,F. UNKNOWN,FALSE,FALSE,FALSE,LOW,Document rationale
ScanTOBIM/ScanTOBIM/agent/drp.py,163,0,"ncrs = session.get(""""total_ncrs"""", 0)",Numerical parameter,F. UNKNOWN,FALSE,FALSE,FALSE,LOW,Document rationale
ScanTOBIM/ScanTOBIM/agent/drp.py,249,0,"count = chain_result.get(""""event_count"""", 0)",Numerical parameter,F. UNKNOWN,FALSE,FALSE,FALSE,LOW,Document rationale
ScanTOBIM/ScanTOBIM/agent/drp.py,123,19,"return iso[0:19].replace(""""T"""", """" """") if len(iso) >= 19 else iso",Numerical parameter,F. UNKNOWN,FALSE,FALSE,FALSE,LOW,Document rationale
ScanTOBIM/ScanTOBIM/agent/drp.py,299,200,for e in el_events[:200]:  # cap at 200 for print-readability,Numerical parameter,F. UNKNOWN,FALSE,FALSE,FALSE,LOW,Document rationale
ScanTOBIM/ScanTOBIM/agent/drp.py,203,80,"reason = detail.get(""""reason"""", detail.get(""""comments"""", """"—""""))[:80]",Numerical parameter,F. UNKNOWN,FALSE,FALSE,FALSE,LOW,Document rationale
ScanTOBIM/ScanTOBIM/agent/drp.py,301,18,"el_id = (e.get(""""element_id"""") or """"—"""")[:18]",Numerical parameter,F. UNKNOWN,FALSE,FALSE,FALSE,LOW,Document rationale
ScanTOBIM/ScanTOBIM/agent/drp.py,280,12,"seg = (e.get(""""segment_id"""") or """"?"""")[:12] + """"…""""",Numerical parameter,F. UNKNOWN,FALSE,FALSE,FALSE,LOW,Document rationale
ScanTOBIM/ScanTOBIM/agent/drp.py,302,12,"seg_id = (e.get(""""segment_id"""") or """"—"""")[:12] + """"…""""",Numerical parameter,F. UNKNOWN,FALSE,FALSE,FALSE,LOW,Document rationale
ScanTOBIM/ScanTOBIM/agent/drp.py,123,0,"return iso[0:19].replace(""""T"""", """" """") if len(iso) >= 19 else iso",Numerical parameter,F. UNKNOWN,FALSE,FALSE,FALSE,LOW,Document rationale
ScanTOBIM/ScanTOBIM/agent/drp.py,169,1,"f""""<td>{round(cnt / max(len(classified), 1) * 100, 1)}%</td></tr>""""",Calculated metric derived from input data,C. DATA-DERIVED VALUE,FALSE,FALSE,TRUE,ACCEPTABLE,None — properly data-derived
